|Country|Channel Name|Category|Main Video Category|username|followers|Main topic|More topics|Likes|Boost Index|Engagement Rate|Engagement Rate 60days|Views|Views Avg.|Avg. 1 Day|Avg. 3 Day|Avg. 7 Day|Avg. 14 Day|Avg. 30 day|Avg. 60 day|Comments Avg|Youtube Link
583|US|Dream||Action-adventure game|Dream|29500000|Action-adventure game|Gaming,Action game,Role-playing video game,Action-adventure game|108019743.4682081|74|0.795654740276281|0.0354302218085627|2617970693|34656080.75|0.0|0.0|0.0|0.0|0.0|0.0|54184.72254335261|UCTkXRDQl0luXxVQrRQvWS6w
582|US|rezendeevil|Gaming & Apps|Gaming|rezendeevil|29600000|Technology|Lifestyle,Technology|924433049.7268152|78|0.026044128778311|0.0169315300314576|12562836296|906547.1638888888|82099.5|100924.0|178473.875|257987.3333333333|381732.53125|419113.7741935484|1917.9412892403548|UCbTVTephX30ZhQF5zwFppBg
580|US|The Tonight Show Starring Jimmy Fallon|Gaming & Apps|Comedy|The Tonight Show Starring Jimmy Fallon|29700000|TV shows|Movies,TV shows,Entertainment|135086098.24552482|79|0.0178245119899839|0.0152665588877675|15881598339|398666.1178160919|46448.0|154070.0|232904.85714285716|354807.30666666664|375184.96273291926|435287.5874125874|843.7223352318958|UC8-Th83bH_thdKZDJCrn88g
579|US|DisneyMusicVEVO|Music|Music|DisneyMusicVEVO|29700000|Movies|Entertainment,Music,Pop music,Movies|90824434.52309236|74|0.155359310574591|0.0124699107815372|24190969252|1395586.8666666667|||1766589.0|152790.0|155265.5|316188.7297297297|2119.233935742972|UCgwv23FVv3lqh567yagXfNg
141|US|Little Baby Bum - Nursery Rhymes & Kids Songs|Music|Education|Little Baby Bum - Nursery Rhymes & Kids Songs|39200000|Entertainment|Entertainment,Music,Movies|5749294.193817878|78|0.0221789286992992|0.0184218931971802|36748994170|792125.3333333333|25032.5|69746.75|268456.05|410841.6341463415|426330.2878787879|719102.0495867769|11.811194653299916|UCKAqou7V9FAWXpZd9xtOg3Q
144|US|TheEllenShow||Entertainment|TheEllenShow|38300000|Entertainment|Entertainment,TV shows,Movies|167231088.84348023|81|0.0145730939619584|0.0123300931878722|22274035516|383303.09364548494||12162.8|13738.047619047618|41222.10526315789|61318.82191780822|460233.900990099|332.9654702407996|UCp0hYYBW6IMayGgR-WeoCvQ
568|US|Luis Fonsi||Entertainment|Luis Fonsi|30800000|Music of Latin America|Music,Pop music,Music of Latin America|790615.8507462686|81|0.0115713457065322|0.0009435665220973|14382216393|243522.25||8822.5|12586.6|12586.6|15931.875|21974.625|387.089552238806|UCxoq-PAQeAdk_zyg8YS0JqA
121|US|Billie Eilish|Gaming & Apps|Music|Billie Eilish|45900000|Music|Independent music,Music,Pop music|37371320.82142857|16|0.5631284655446878|0.0185098377684407|11810491835|18540721.25|0.0|0.0|0.0|0.0|0.0|0.0|37181.53571428572|UCiGm_E4ZwYSHV3bcW1pnSeQ
562|US|JustinBieberVEVO|Music|Music|JustinBieberVEVO|31800000|Pop music|Music,Hip hop music,Pop music|127777643.17647058|42|1.079713776174621|0.0378486133925268|25156934979|14094849.25|||||553413.0|553413.0|26867.329411764706|UCHkj014U2CQ2Nv0UZeYpE_A
609|US|TheDonato||Entertainment|TheDonato|27000000|Action game|Gaming,Action game|494765339.6854304|63|0.0703715286158122|0.0272708337151871|4997475333|2735315.35||61288.42857142857|188801.9333333333|344960.3461538461|430072.7804878049|526603.1477272727|7351.350441501104|UCaHEdZtk6k7SVP-umnzifmQ
